Business,City,Owner,Title,Source,Note,Adjust,Exclude
Airco Service,Tulsa,Tom Boyce,President,web search 2026-09-25 (LinkedIn/Tulsa People: Boyce family, founded 1961; Austin Boyce GM sales),family-owned since 1961; large multi-city operation,
Air Assurance,Tulsa,David Rampey,President / co-owner,web search 2026-09-25 (LinkedIn; Tulsa World interview),family-owned since 1985 (Mike & Narissa Rampey); HQ Broken Arrow,0,
Mullin Plumbing HVAC & Septic,Tulsa,Rob Morris,CEO,web search 2026-09-25 (mullininc.com/about-us; Ray Trimble COO),sold to private-equity firm CenterOak Partners in 2021: decision likely not local,-6,
Hendrick Heat Air & Plumbing,Tulsa,Justin Hendrick,Owner,web search 2026-09-25 (LinkedIn/Crunchbase; BBB lists Shelby Hendrick),owner since 2020,0,
Torch Plumbing Heating and Cooling,Tulsa,Josh Hutchinson,Owner,web search 2026-09-25 (torchservices.com/about-us; LinkedIn),founded 2009; based in Owasso,0,
Arrowhead Roofing,Tulsa,Mark Richards,Founder / President,web search 2026-09-25 (Facebook post 'meet the founder'; BBB),owners: Mark Richards; Andy Anderson; Spencer Haines; founded 1987,0,
Air Solutions Heating Cooling Plumbing Electric,Tulsa,Kieth Hilligoss,Owner,web search 2026-09-25 (LinkedIn; Tulsa Chamber),family-owned since 1997; several listed owners (K. Hilligoss; L. L. T.; J. L.; B. V.),0,
Air Comfort Solutions,Tulsa,Ron Gregory,CEO,web search 2026-09-25 (LinkedIn: Judy Gregory business owner),Tulsa + Oklahoma City locations; very large; TV advertiser,-3,
Quality Heating Cooling Plumbing & Electric,Tulsa,Oscar Pound,Co-owner,web search 2026-09-25 (PR Newswire; quality-hc.com/about-us/our-history; Cassie Pound VP/co-owner),founded 2014 by Oscar & Cassie Pound; has acquired other local companies,0,
Half Moon Plumbing & Electric,Tulsa,Dustin Mitchell,Owner,web search 2026-09-25 (Facebook 'meet our owner'; Value News),runs it with wife Tiffany; Owasso based; since 2007,0,
Murray Electric & Plumbing,Tulsa,Ray Trimble,Owner,web search 2026-09-25 (BBB: Murray Electrical Services LLC; employee-owned),same Ray Trimble is COO of Mullin: likely part of the Mullin group,-3,
Duvall Plumbing Heating and Cooling,Tulsa,,,web search 2026-09-25,family-run but acquired by HomeTown Services on 2023-09-11: decision likely not local,-6,
Conrad's Roofing,Tulsa,Kenneth Conrad,Owner,web search 2026-09-25 (LinkedIn/ZoomInfo; Jordan Conrad President),third-generation roofer; est. 2011,0,
Maston's Plumbing & Drain,Tulsa,Cale Forester,Owner,web search 2026-09-25 (BBB profile listing),veteran-owned; family-owned,0,
ProThermal Heating and Cooling,Tulsa,David Coker,Owner,web search 2026-09-25 (LinkedIn; HVAC Insider),acquired by Rocket Group (national): decision likely not local,-6,
ASAP Heating & Air,Tulsa,,,web search 2026-09-25,owner not confirmed (a directory lists David Polk; site text mentioned Jay Matlock): ask for the owner,0,
American Home Pros,Tulsa,Cody Dampf,President / co-owner,web search 2026-09-25 (americanhomepros.com/about),Marine veteran; co-owned since 2016; Jenks/Tulsa,0,
Watt's Right Electric,Tulsa,Allen Black,Owner,web search 2026-09-25 (BBB profile listing),family owned and operated,0,
Infinity Plumbing Services,Tulsa,Jared Coe,Owner / President,web search 2026-09-25 (LinkedIn; infinityplumbingservices.com/our-story),founded 2012; Broken Arrow,0,
Shamrock Roofing and Construction,Tulsa,Garen Armstrong,Owner (HQ Kansas City); Tom McMahon GM,web search 2026-09-25 (shamrockroofer.com blog; BBB),HQ is in Kansas City and Tulsa is a branch office: local buying decision unlikely,-5,
A Best Air,Tulsa,Kenny Green,Owner,web search 2026-09-25 (abestairtulsa.com/about; reviews name Kenny & Tammy Green),family owned since 2009,0,
Comfort Class Chimney & Air Service,Tulsa,Richard Tattershall,Owner,web search 2026-09-25 (comfortclasschimneysandairservice.com/about-us),chimney + HVAC; Skiatook based; since 2006,0,
Combat Roofing & Restoration,Tulsa,,,web search 2026-09-25 (combatroofing.com),owner is a Marine veteran; name not published: ask for the owner,0,
TemperaturePro Tulsa,Tulsa,Wade Welborn,Owner (franchisee),web search 2026-09-25 (BBB profile listing; temperaturepro.com),TemperaturePro franchise; locally owned; 2 locations,0,
All American Roofing,Tulsa,Michael Cagle,President,web search 2026-09-25 (LinkedIn; BBB lists Neil Cagle President),family business; Tulsa + Oklahoma City,0,
Wooten Knockout Plumbing LLC,Tulsa,Bradley Wooten,Owner,web search 2026-09-25 (wootenknockoutplumbing.com/about),family plumbing lineage; Tulsa + Stillwater,0,
1st Priority Roofing,Tulsa,Josh Murdock,Owner,web search 2026-09-25 (LinkedIn; BBB lists Sheryl Watts co-owner),Owens Corning Platinum; since 2010,0,
Tier-One Roofing,Tulsa,Jonathan Marsh,Owner,web search 2026-09-25 (tier-oneroofing.com/meet-the-owner),veteran owned; since 2014,0,
Waybright Electric,Tulsa,James Crews,Owner,web search 2026-09-25 (BBB; callwaybright.com),Broken Arrow based,0,
Howe Inc,Sioux Falls,Justin Howe,President (4th generation),web search 2026-09-25 (howeinc.com/our-company; LinkedIn Ron Howe owner),founded 1940; family owned; also commercial/fire sprinkler,0,
Skradski Heating & Cooling,Omaha,Corey Skradski,Owner (3rd generation),web search 2026-09-25 (heatomaha.com/about; Omaha Magazine),family owned since 1951,0,
Star City Heating Cooling Electrical & Plumbing,Lincoln,Keith McRoberts,Former co-owner,web search 2026-09-25 (PitchBook; Strictly Business),acquired by Burton A/C on 2021-03-01: decision not local,0,
Reddi Industries,Wichita,Tommy Steven,President / owner (with Zack Steven),web search 2026-09-25 (reddi.com blog; ZoomInfo),family owned 50+ years; multi-service (electric/plumbing/rooter/appliance); acquires small local firms,0,
Omaha Drain,Omaha,Rod Chfat,Owner,web search 2026-09-25 (omaha-drain.com/about-us),owner-run drain/plumbing,0,
Moose Roofing,Omaha,Pat Muhs,Founder / Owner,web search 2026-09-25 (mooseroofing.com; Omaha Magazine; Topher Greene also listed as owner),since 1996; 15;000+ roofs,0,
Getzschman Heating & Air Conditioning,Omaha,Scott Getzschman,Co-owner,web search 2026-09-25 (getzschman.com/about-us; Strictly Business),family owned since 1960; owners Scott & Ron Getzschman and Roger Pannier,0,
Royalty Roofing,Omaha,Nick Bermel,Owner / CEO,web search 2026-09-25 (royaltyroofing.org/our-team; LinkedIn),founded 2010,0,
Turtle Roofing,Omaha,Shawn Seevers,President / founding owner,web search 2026-09-25 (turtleroofing.com/team; BBB),co-founder Conrad Kaminsky CEO; family owned,0,
Hans Heating & Air Conditioning Inc.,Omaha,Russ Hans,Owner / President,web search 2026-09-25 (LinkedIn; BBB),family owned,0,
Home Pride Contractors Inc.,Omaha,Michelle Ryan,President,web search 2026-09-25 (homepride.net/about; ZoomInfo),family owned since 1985,0,
River City Heating Cooling & Plumbing,Omaha,Brad,Owner (first name only),web search 2026-09-25 (BBB; Trane dealer page),one 2026 source says the company was acquired: verify before pitching,-4,
Waterbury Heating & Cooling Inc.,Sioux Falls,Tom Stritecky,President / owner,web search 2026-09-25 (LinkedIn; waterburyheating.com/about),owner since 1991; multi-trade,0,
Moody Heating and Air Conditioning,Wichita,,,web search 2026-09-25 (moodyheatingandairconditioning.com/about-us),family owned since 1977; owner name not published: ask for the owner,0,
National Furnace & Air Conditioning,Lincoln,Jeff Chaloupka,Owner,web search 2026-09-25 (BBB profile listing; Bruce Hiller GM),,0,
Casey Nelson Exteriors,Omaha,Casey Nelson,Owner / founder,web search 2026-09-25 (LinkedIn; caseynelsonexteriors.com/about-us),Lincoln + Omaha; roofing/siding/windows,0,
Heyn Brothers Roofing,Sioux Falls,Aaron Heyn,CEO / Owner,web search 2026-09-25 (heynbrothers.com/about-us/our-team),locally owned 20+ years,0,
A-R Roofing & Exteriors,Wichita,,,web search 2026-09-25 (arroofing.com/about),family owned 20 years; owner name not published: ask for the owner,0,
Midwest Mechanical,Wichita,Shon Peterman,Owner,web search 2026-09-25 (coolwichita.com/about-us; Yelp),owner for nearly two decades,0,
Comfort Heroes Plumbing Heating Air & Electric,Sioux Falls,Alan Gentry,Owner / founder,web search 2026-09-25 (mycomfortheroes.com/about-us; BBB),family owned since 2014; multi-trade,0,
Gretna Plumbing & Drain Services,Omaha,John Ellis,Owner,web search 2026-09-25 (gretnaplumbing.com; PACER),company and owner filed for bankruptcy in 2025 (case 8:25-bk-80549),0,bankruptcy filing in 2025
All States Home Improvement,Wichita,Cris Keeter,Owner,web search 2026-09-25 (allstateshomeimprovement.com/about-us),family owned since 1992; roofing/siding/windows remodeler,0,
Major Drain,Lincoln,,,web search 2026-09-25 (majordrainomaha.com/about-us),"Omaha-based, serves Lincoln; family owned since 2012; owner name not published",0,
Xtreme Heating and Cooling,Omaha,Jerry Wewel,Owner,web search 2026-09-25 (LinkedIn; BBB),since 2012; also trades as Xtreme Mechanical,0,
Apollo Heating and Air,Omaha,Ben Micek,Co-owner (with Josh Phillips),web search 2026-09-25 (Omaha World-Herald 2020; apollohtg.com),family owned; Bellevue; owners since 2020,0,
PlumbRite,Omaha,Matt Simet,Owner / founder,web search 2026-09-25 (plumbriteomaha.com/about-us; BBB),founded 2018; third-generation master plumber,0,
Viper Drain Cleaning - Plumber Council Bluffs,Omaha,Alex Hildenstein,Owner,web search 2026-09-25 (BBB; viperdraincleaning.com/about),Council Bluffs IA,0,
Bowers Plumbing Company,Wichita,Kendall Cooper,Owner,web search 2026-09-25 (LinkedIn; bowersplumbingcompany.com/about-us),family owned since 1955,0,
Reed's Plumbing Excavating Septic Heating & Air,Springfield,Titus Williams,Owner (Prosperiti Partners),web search 2026-09-25 (Springfield Business Journal),acquired by Titus Williams' Prosperiti Partners portfolio; founders retired,0,acquired: portfolio company of Prosperiti Partners
Black Hills Exteriors,Sioux Falls,Chad Enger,General Manager / owner,web search 2026-09-25 (BBB; bhexteriors.com),HQ Rapid City; Sioux Falls is a branch; SD + WY,-5,
Team Kline,Omaha,,,web search 2026-09-25 (teamkline.net/company),"400+ employees, 5 locations in 4 states, employee-owned, HQ Des Moines",0,regional operator with 400+ staff: Omaha branch cannot buy locally
Mike's & Sappio's Heating & Air,Wichita,,,web search 2026-09-25,family owned since 1967; owner name not published: ask for the owner,0,
Gotta Guy Plumbing & Home Services,Wichita,Matthew Moore,Owner,web search 2026-09-25 (gotta-guy-services.com/about; BBB),locally owned,0,
McIntosh Plumbing,Omaha,Jason McIntosh,Owner,web search 2026-09-25 (mcintoshplumbing.com),Council Bluffs based; partners Ryan Miller and Justin Gray; founded 2006,0,
D & K Heating & Air Conditioning,Omaha,Dick Kudlacek,Owner / founder (with Karen Kudlacek),web search 2026-09-25 (dkcomfort.com/about-us; BBB),family owned since 1977; day-to-day run by Dave,0,
John Henry's,Omaha,Lindsey Reinke,Owner,web search 2026-09-25 (Strictly Business: purchased from founders Jack & Deb Zohner in 2019),Lincoln-based; 75+ employees; very large,0,
John Henry's Plumbing Heating Air and Electrical,Lincoln,Lindsey Reinke,Owner,web search 2026-09-25 (Strictly Business: purchased from founders Jack & Deb Zohner in 2019),75+ employees; very large; also advertises in Omaha,0,
WIREONE Electric,Omaha,Jake Wheeler,Founder / President,web search 2026-09-25 (LinkedIn; wireoneelectric.com),HQ Des Moines area; operates in 8+ cities across IA/NE/MO/WI: Omaha is a branch,-6,
On Time Plumbing Heating Cooling & Electric,Wichita,David Darrough,Owner,web search 2026-09-25 (ontimesvc.com/about),locally owned since 2004; large (4;300+ reviews),0,
All Pro Heating and Air Conditioning. Inc,Lincoln,Constantine Syniy,Owner,web search 2026-09-25 (BBB; Strictly Business),since 2009,0,
Winfrey Plumbing,Lincoln,Phil Winfrey,Owner (Nick Winfrey President),web search 2026-09-25 (winfreyplumbing.com/about/meet-the-team; LinkedIn),Omaha/Elkhorn based family company since 1962; serves Lincoln,0,
Larry Cook Heating and Cooling,Wichita,Larry Cook,President / Owner,web search 2026-09-25 (BBB; larrycookhvac.com),family company since 1970,0,
JTM Plumbing and Drain,Lincoln,Jon Miller,Owner (with Traci Miller),web search 2026-09-25 (LinkedIn; BBB),Gretna-based master plumber since 2004,0,
Reaper Plumbing LLC,Wichita,David Gutierrez,Owner (with Michelle Gutierrez),web search 2026-09-25 (BBB),incorporated Aug 2024: very new,-4,
Tickles Heating and Air,Wichita,Kenny Nutt,Owner,web search 2026-09-25 (ticklesheatingandair.com; HomeAdvisor),family owned,0,
Eyman Plumbing Heating & Air,Omaha,Tom Eyman,President,web search 2026-09-25 (trusteyman.com/about; LinkedIn Terry Eyman owner),family owned since 1957,0,
Luxury Comfort Solutions,Lincoln,Cesar Guerrero,Owner,web search 2026-09-25 (luxuryheatingandair.com/about-us),founded 2012 with Paula Guerrero,0,
Thermal Services Inc.,Omaha,Wade Mayfield,President,web search 2026-09-25 (ACCA board; BBB),since 1968; listed on northwindsservices.com/our-brands (TruArc Partners PE platform),0,private-equity platform: part of Northwinds Services Group (TruArc Partners)
IGR Roofing,Tulsa,Mikel Marsh,CEO / Owner,web search 2026-09-25 (BBB: Integrity Group Roofing dba IGR),veteran owned,0,
Done Right Home Improvements,Omaha,Antonio Harrell,CEO,web search 2026-09-25 (RocketReach; LinkedIn),about 13 employees; BBB accredited since 2008,0,
Hometown Roofing,Omaha,Brett Huizenga,Owner,web search 2026-09-25 (hometownroofing.com/about),owner since Aug 2018; company 50+ years,0,
Bryant Air Conditioning Heating Electrical & Plumbing,Lincoln,,,web search 2026-09-25 (bryantlincoln.com/about-us; Bloomberg),employee-owned (ESOP) since 2004; 51-200 employees; no single owner: ask for the president/GM,-4,
White Plumbing Heating & Air,Springfield,Robert Henson,President / owner,web search 2026-09-25 (whiteplumbingcompany.com/about-us),owners Robert & Julia Henson since 2019; founded 1989,0,
SS&B Heating & Cooling,Springfield,Jeremy Grisham,Owner,web search 2026-09-25 (ssbhc.com/about-us),bought the company in 2017; founded 1969,0,
JR & Co.,Omaha,Jonathan Schilling,Owner (HQ Kansas City),web search 2026-09-25 (jrcousa.com/about; Roofing Contractor magazine),top-50 national commercial roofer with 7 locations; Omaha is a branch,0,multi-state operator (HQ Kansas City): Omaha branch cannot buy locally
Service HQ,Wichita,,,web search 2026-09-25 (theservicehq.com),locally owned; based in Augusta KS; owner name not published,0,
ANG Heating and Air Conditioning,Omaha,,,web search 2026-09-25 (angheatingandair.com/About),'Awful Nice Guys'; family owned; based in Blair NE; owner name not published,0,
Titanium HVAC,Omaha,Kevin Linn,Owner,web search 2026-09-25 (LinkedIn; titaniumomaha.com/about),opened 2016,0,
Dan's Heating and Cooling,Wichita,Michael McDowell,Vice President / co-owner (with Maureen Gile),web search 2026-09-25 (danshc.com/about),family owned since 1975,0,
FireHouse Roofing Co.,Tulsa,Russ Hawkins,Owner / founder,web search 2026-09-25 (firehouseroofingco.com),retired Tulsa firefighter; founded 2017; Broken Arrow,0,
Eck Services,Wichita,Travis Eck,Owner,web search 2026-09-25 (eckelectric.com/our-story; ZoomInfo),owner-run but 6 locations and 140 staff across Kansas,-4,
Simmons Plumbing Water Heater Repair & Drain Cleaning,Wichita,Keaton Simmons,Owner,web search 2026-09-25 (licensing records; simmonsplumbingwichita.com),family company since 1978; brother Andy Simmons,0,
PD Plumbing Heating & Cooling,Wichita,Britt Moore,Founder / Owner,web search 2026-09-25 (pdplumbin.com/about-us),founded 2011,0,
Aire Serv of Sioux Empire,Sioux Falls,Allen Hallstrom,"Owner (franchisee, with Beth Hallstrom)",web search 2026-09-25 (aireserv.com/sioux-empire),Aire Serv franchise; veteran owned since 1997; same address as Mr. Electric of the Sioux Empire,0,
